protected: virtual int __cdecl CLibObjectConstraints::OnXMLTag(class CXMLSchemaInStream & __ptr64,int,wchar_t const * __ptr64,wchar_t const * __ptr64,class CXMLAttrs & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
protected: void __cdecl CIndirectArray<class CIndexRecord<class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > >,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > >::DeleteContainment(void) __ptr64;lcsLibManager.nrx;Exported Function;
protected: void __cdecl CIndirectArray<class CIndexRecord<class NcDbObjectId,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > >::DeleteContainment(void) __ptr64;lcsLibManager.nrx;Exported Function;
protected: void __cdecl CIndirectArray<class CLibConstraintStructureItem>::DeleteContainment(void) __ptr64;lcsLibManager.nrx;Exported Function;
protected: void __cdecl CLibObjectUIDRegistry::AddObjectId(class NcDbObjectId const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
protected: void __cdecl CLibObjectUIDRegistry::ApplyParameters(class CElement & __ptr64,class CElement const & __ptr64,class CParamsProtectionList & __ptr64,enum EParamAction) __ptr64;lcsLibManager.nrx;Exported Function;
protected: void __cdecl CLibObjectUIDRegistry::UpdateProgressMeterPos(int,int & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
protected: void __cdecl CSortedIndirectArray<class CIndexRecord<class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > >,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > >::InsertAt(__int64,class CIndexRecord<class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > >,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > * __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
protected: void __cdecl CSortedIndirectArray<class CLibConstraintStructureItem>::InsertAt(__int64,class CLibConstraintStructureItem * __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
protected: void __cdecl TArrayTemplate<class CIndexRecord<class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > >,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > * __ptr64>::UpdateDelta(void) __ptr64;lcsLibManager.nrx;Exported Function;
