public: virtual class CoElementAdapter * __ptr64 __cdecl CoElementAdapterT<class linCSNode>::Clone(void) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual class CoElementAdapter * __ptr64 __cdecl CoElementAdapterT<class linCSDataObject>::Clone(void) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual class CoElementAdapter * __ptr64 __cdecl CoElementAdapterT<class linCSCollision>::Clone(void) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual class CElement * __ptr64 __cdecl CoElementTemporary::GetElementPtr(void) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual class CElement * __ptr64 __cdecl CoElementPersistent::GetElementPtr(void) __ptr64,UnitsCSCom.dll,Exported Function
"public: virtual class CElement * __ptr64 __cdecl CoElementAdapterT<class linCSNode>::GetElementPtr(class NcDbObject * __ptr64,int) __ptr64",UnitsCSCom.dll,Exported Function
"public: virtual class CElement * __ptr64 __cdecl CoElementAdapterT<class linCSDataObject>::GetElementPtr(class NcDbObject * __ptr64,int) __ptr64",UnitsCSCom.dll,Exported Function
"public: virtual class CElement * __ptr64 __cdecl CoElementAdapterT<class linCSCollision>::GetElementPtr(class NcDbObject * __ptr64,int) __ptr64",UnitsCSCom.dll,Exported Function
public: virtual __cdecl CPersistentObjectsCollection::~CPersistentObjectsCollection(void) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual __cdecl CoElementPersistent::~CoElementPersistent(void) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual __cdecl CoElementAdapterT<class linCSNode>::~CoElementAdapterT<class linCSNode>(void) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual __cdecl CoElementAdapterT<class linCSDataObject>::~CoElementAdapterT<class linCSDataObject>(void) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual __cdecl CoElementAdapterT<class linCSCollision>::~CoElementAdapterT<class linCSCollision>(void) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual __cdecl CoElementAdapter::~CoElementAdapter(void) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual __cdecl CNodesPersistentCollection::~CNodesPersistentCollection(void) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual __cdecl CItemCollection::~CItemCollection(void) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual __cdecl CEnumVariantImpl::~CEnumVariantImpl(void) __ptr64,UnitsCSCom.dll,Exported Function
public: unsigned long __cdecl ATL::CComObjectRootEx<class ATL::CComSingleThreadModel>::InternalRelease(void) __ptr64,UnitsCSCom.dll,Exported Function
public: unsigned long __cdecl ATL::CComObjectRootEx<class ATL::CComSingleThreadModel>::InternalAddRef(void) __ptr64,UnitsCSCom.dll,Exported Function
public: struct IUnknown * __ptr64 __cdecl CoElement::GetUnknown(void) __ptr64,UnitsCSCom.dll,Exported Function
public: struct IUnknown * __ptr64 __cdecl CoElement::_GetRawUnknown(void) __ptr64,UnitsCSCom.dll,Exported Function
public: struct IUnknown * __ptr64 __cdecl CMDSObjects::GetUnknown(void) __ptr64,UnitsCSCom.dll,Exported Function
public: struct IUnknown * __ptr64 __cdecl CMDSObjects::_GetRawUnknown(void) __ptr64,UnitsCSCom.dll,Exported Function
public: struct IUnknown * __ptr64 __cdecl CMDSNodes::GetUnknown(void) __ptr64,UnitsCSCom.dll,Exported Function
public: struct IUnknown * __ptr64 __cdecl CMDSNodes::_GetRawUnknown(void) __ptr64,UnitsCSCom.dll,Exported Function
public: struct IUnknown * __ptr64 __cdecl CEnumVariantImpl::GetUnknown(void) __ptr64,UnitsCSCom.dll,Exported Function
